,coefficient,se,pvalue,ci_lo,ci_hi
Intercept,4.429833,4.786427,0.354706,-4.951391,13.811058
func_form_F2[T.True],0.045909,2.752777,0.986694,-5.349435,5.441254
func_form_F3[T.True],-0.372913,3.708912,0.919912,-7.642246,6.896420
func_form_F4[T.True],0.031724,2.750053,0.990796,-5.358280,5.421728
func_form_F5[T.True],-0.004082,2.744555,0.998813,-5.383311,5.375147
func_form_F6[T.True],-2.878837,18.145213,0.873940,-38.442800,32.685127
func_form_F7[T.True],0.053172,2.746514,0.984554,-5.329897,5.436240
fe_E2[T.True],-8.834300,4.421776,0.045727,-17.500822,-0.167778
fe_E3[T.True],8.916331,9.112875,0.327861,-8.944575,26.777237
fe_E4[T.True],-8.463065,5.461997,0.121275,-19.168381,2.242252
sample_S2[T.True],1.763522,5.974378,0.767856,-9.946044,13.473088
sample_S3[T.True],6.041485,7.009439,0.388739,-7.696763,19.779733
cov_design_D2[T.True],-9.982476,5.588509,0.074059,-20.935752,0.970800
