"surveyID","nLearning","dEd","numFTEsSML","numLocations_F","QuantPreference_F","dBrickNMortar","dOtherOnlineChannels","dSH","DataAvail_today","DataUse_today","numKPIs_today","DataAvail_1yrAgo","DataUse_1yrAgo","numKPIs_1yrAgo"
188,3,1,"L","2-3","Quant",0,1,0,4,3,2,2,1,1
9,1,0,"S","1","Quant",0,0,1,5,1,1,5,1,1
233,3,0,"S","1","Quant",0,0,1,5,3,1,5,2,1
256,2,1,"S","1","Mix",0,0,1,5,2,1,3,1,1
145,1,0,"M","1","Mix",0,1,1,3,3,2,4,4,3
262,1,0,"M","1","Mix",1,1,1,3,3,3,2,2,2
61,4,1,"M","1","Verbal",1,1,1,5,5,4,5,5,4
135,2,1,"S","2-3","Mix",0,1,1,5,5,4,4,4,3
152,7,NA,"S","2-3","Mix",0,1,1,4,4,1,4,4,1
104,3,0,"M","2-3","Quant",0,0,1,4,5,4,2,3,1
304,2,0,NA,"2-3","Quant",1,0,1,2,2,1,1,1,1
155,2,0,"S","1","Quant",0,1,0,4,2,1,4,2,1
17,1,1,"M","1","Mix",0,1,0,4,4,3,3,3,3
206,1,0,"S","1","Mix",0,0,0,2,1,1,1,1,1
176,2,0,"M","1","Quant",0,0,0,4,4,2,3,2,1
141,1,1,"S","2-3","Mix",0,0,0,4,4,2,3,2,1
28,1,1,"S","1","Mix",1,0,0,5,5,4,5,5,2
4,4,0,"L","2-3","Mix",0,1,1,3,3,4,3,3,4
127,5,1,"S","1","Mix",0,1,1,3,2,2,2,1,1
62,3,0,"M","2-3","Mix",0,1,0,3,4,1,2,2,1
191,2,1,"M","4 or more","Quant",1,0,0,3,3,4,2,1,3
268,1,0,"L","2-3","Quant",1,0,1,5,5,4,5,5,4
272,3,1,"S","1","Mix",0,1,1,4,3,3,2,2,3
159,3,0,"M","2-3","Quant",0,1,1,4,4,4,2,1,2
51,3,0,"S","2-3","Quant",0,1,1,5,3,3,5,3,3
153,1,1,"S","1","Quant",0,1,1,3,3,2,2,2,1
154,1,NA,NA,NA,"Mix",NA,NA,1,4,5,3,4,5,3
87,8,1,"M","1","Mix",0,0,0,5,5,4,4,4,3
63,1,0,"S","2-3","Quant",0,0,0,4,3,4,2,2,4
58,1,0,"M","2-3","Quant",0,0,0,1,1,1,1,1,1
224,1,1,"S","1","Quant",0,1,0,4,1,2,2,1,2
68,3,1,"M",NA,"Verbal",0,0,1,4,4,3,3,3,2
110,2,NA,"S","1","Quant",0,1,0,4,4,2,4,3,3
293,1,0,"S","1","Quant",0,1,1,3,3,3,1,1,1
30,1,NA,"S","1","Mix",0,0,0,4,1,3,4,1,3
67,1,1,"S","1","Mix",0,1,0,2,2,2,2,2,2
25,2,0,"S","2-3","Quant",0,0,0,4,5,3,3,5,3
216,1,0,"L","1","Verbal",0,1,0,2,3,1,1,3,1
69,1,0,"M","1","Mix",0,0,0,1,1,1,1,1,1
264,1,1,"S","1","Quant",0,0,1,4,1,1,4,1,1
50,2,0,"S","2-3","Quant",0,0,1,4,3,4,2,1,3
163,1,1,"M","1","Quant",1,1,0,3,3,2,3,2,1
223,1,0,NA,NA,"Mix",0,0,0,3,2,1,2,1,1
35,2,1,"S","1","Quant",0,1,1,4,4,4,3,2,2
21,1,0,"S","1","Quant",0,0,0,1,1,1,1,1,1
239,3,0,"S","1","Quant",0,0,0,3,2,2,3,2,2
243,1,0,"M","1","Mix",1,1,0,2,2,1,2,1,1
195,1,1,"M","1","Verbal",0,0,0,3,2,1,2,1,1
43,1,0,"S","1","Mix",0,1,0,3,4,4,3,4,2
298,1,0,NA,"2-3","Mix",0,1,1,2,4,3,3,4,3
263,1,0,"S","1","Verbal",0,1,1,3,5,4,3,4,3
77,2,1,"S","2-3","Quant",0,0,1,3,4,4,2,3,4
128,2,0,"L","4 or more","Quant",1,1,0,4,3,1,3,5,3
103,1,1,"S","1","Quant",0,0,1,4,4,3,2,2,1
286,2,1,"S","1","Mix",0,0,1,3,4,4,3,3,4
118,7,0,"L","2-3","Mix",1,0,1,2,3,4,2,1,1
222,2,0,"S","1","Quant",1,1,1,3,4,4,2,3,2
258,4,0,"S","2-3","Mix",0,0,1,4,4,3,4,4,3
41,1,0,"S","1","Quant",0,0,0,2,1,3,2,1,2
228,1,0,"S","1","Mix",0,0,1,4,5,4,3,4,3
